campaignid	campaignname	channel	discount	freeshippingflag
2001		PARTNER	0	N
2002		AD	0	N
2003		PARTNER	0	N
2004		PARTNER	0	N
2005		PARTNER	0	N
2006		INSERT	25	N
2007		PARTNER	0	Y
2008		AD	0	N
2009		INSERT	0	N
2010		INSERT	0	N
2011		INSERT	20	N
2012		AD	0	N
2013		INSERT	0	N
2014		WEB	10	N
2015		PARTNER	0	N
2016		EMAIL	10	N
2017		PARTNER	0	N
2018		AD	0	N
2019		PARTNER	0	N
2020		WEB	0	Y
2021		AD	20	N
2022		WEB	45	N
2023		AD	50	N
2024		AD	20	N
2025		MAIL	0	Y
2026		MAIL	0	N
2027		MAIL	0	N
2028		MAIL	0	N
2029		MAIL	0	N
2030		MAIL	0	N
2031		MAIL	0	N
2032		MAIL	0	N
2033		PARTNER	20	N
2034		MAIL	0	N
2035		MAIL	0	N
2036		MAIL	0	N
2037		MAIL	0	N
2038		AD	32	N
2039		PARTNER	0	N
2040		AD	0	Y
2041		PARTNER	15	N
2042		WEB	10	N
2043		PARTNER	0	N
2044		AD	20	N
2045		EMAIL	0	Y
2046		AD	0	N
2047		PARTNER	15	N
2048		INSERT	25	N
2049		MAIL	10	Y
2050		INSERT	10	N
2051		MAIL	0	N
2052		EMPLOYEE	0	N
2053		AD	0	Y
2054		AD	0	Y
2055		CATALOG	0	Y
2056		WEB	15	N
2057		AD	0	N
2058		EMAIL	0	Y
2059		MAIL	0	N
2060		AD	0	N
2061		MAIL	0	N
2062		AD	0	N
2063		MAIL	0	N
2064		MAIL	0	N
2065		AD	0	N
2066		PARTNER	50	N
2067		PARTNER	0	N
2068		EMAIL	0	Y
2069		AD	20	N
2070		INSERT	20	N
2071		AD	25	N
2072		MAIL	10	Y
2073		AD	50	N
2074		MAIL	0	Y
2075		AD	0	N
2076		AD	20	Y
2077		AD	0	N
2078		EMAIL	20	N
2079		WEB	0	N
2080		AD	0	N
2081		MAIL	0	N
2082		MAIL	0	N
2083		MAIL	0	N
2084		MAIL	15	N
2085		MAIL	0	Y
2086		MAIL	15	N
2087		MAIL	0	Y
2088		WEB	15	N
2089		PARTNER	0	N
2090		PARTNER	0	N
2091		AD	15	N
2092		WEB	15	N
2093		AD	0	N
2094		EMAIL	10	N
2095		EMPLOYEE	30	N
2096		PARTNER	30	N
2097		PARTNER	50	N
2098		PARTNER	50	N
2099		AD	0	N
2100		INSERT	0	N
2101		INSERT	0	N
2102		AD	0	Y
2103		WEB	0	Y
2104		AD	0	Y
2105		AD	15	N
2106		WEB	0	N
2107		AD	0	Y
2108		AD	0	N
2109		AD	0	Y
2110		AD	0	Y
2111		AD	20	N
2112		AD	0	N
2113		AD	0	N
2114		AD	0	N
2115		EMAIL	0	N
2116		AD	0	Y
2117		AD	0	N
2118		AD	0	N
2119		AD	0	Y
2120		AD	0	Y
2121		AD	0	Y
2122		AD	0	Y
2123		AD	0	N
2124		AD	0	N
2125		AD	0	N
